Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Vitus;Rapide 29 Mountain Bike 2021;899,99;Mountain;;L, M, XL, S;Shimano Deore M5120 Shadow plus, long cage, 10 speed;10 Speed;RockShox Recon Silver RL, Solo Air, motion control damper, 32mm stanchions, 100mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm Maxle Stealth axle. RockShox OneLoc Sprint;Shimano MT401
GT;LaBomba 26 Pro Dirtjump Bike 2021;949,99;Mountain;------;M, L;------;Single Speed;"Manitou Circus Expert, Coil w/ Rebound Adjust, 20mm Thru Axle, 1-1/8""-1-1/2"" Tapered AL Steer, Preload Adjust, Black Stanchions";Promax Hydro Disc, 160/160mm Rotors
Cube;Acid 29 Hardtail Bike 2021;999;Mountain;13.5kg;"48cm (19""), 43.5cm (17""), 53cm (21"")";SRAM NX Eagle, 12-Speed;12 Speed;RockShox Judy Silver TK AIR, 100mm, PopLoc;Shimano BR-MT400, Hydr. Disc Brake (180/160)
GT;Avalanche Expert Hardtail Bike 2021;999,99;Mountain;------;L, M, S, XL;SRAM SX Eagle, 12-Speed;12 Speed;RockShox Recon RL, 120mm, 15x100, Remote Lockout, Maxle Lite, 42mm Offset;Shimano MT400 Hydro Disc, 160/160mm RT10 Rotors
GT;Zaskar LT AL Elite Hardtail Bike 2021;999,99;Mountain;------;L, M, S, XL;SRAM NX Eagle, 12-Speed;12 Speed;SR Suntour Zeron 35, 130mm, Coil, 15x110, Tapered Steerer;Shimano MT400 Hydro Disc, 180/180mm RT10 Rotors
Commencal;Meta HT AM Origin 27.5 Hardtail Bike 2021;1099;Mountain;14.2kg / 31lbs 4.9oz;L, M, XL;Shimano Deore, 10-Speed;10 Speed;RockShox 35 Silver R, 160mm travel, coil spring, rebound adjust, 44mm offset;"Levers: Tektro HD-M275; Calipers: Tektro HD-M275, 2-piston; Rotors: Tektro 6-bolt rotors (203mm front, 180mm rear)"
Kona;Unit Hardtail Bike 2021;1099;Mountain;------;L, S, M, XL;n/a;Single Speed;Kona Plus Fork 110mm Spacing;Shimano RT26 180mm
Nukeproof;Scout 275 Race Bike (Deore10) 2021;1099,99;Mountain;13.26kgs/29.2lbs (Tubeless);XL, S, M, L;Shimano M5120 Deore 10-Speed;10 Speed;RockShox Recon RL 140mm, 46mm Offset, Solo air, Gloss Black;Shimano MT4100 Lever with Shimano MT410 2 Pot Caliper, Resin Pads
Nukeproof;Scout 290 Race Bike (Deore10) 2021;1099,99;Mountain;13.5kgs/29.6lbs (Tubeless);XL, M, L;Shimano M5120 Deore 10-Speed;10 Speed;RockShox Recon RL 130mm, 42mm Offset, Solo air, Gloss Black;Shimano MT4100 Lever with Shimano MT410 2 Pot Caliper, Resin Pads
Vitus;Sentier 27 VR Mountain Bike 2021;1099,99;Mountain;TBC;L, S, M, XL;Shimano Deore M5100, Shadow plus, long cage, 11 speed;11 Speed;Marzocchi Bomber Z2 27.5”, Rail damper, Float air spring, 34mm stanchions, 140mm travel, , tapered alloy steerer, Boost hub spacing – 110mm x 15mm QR axle;Shimano MT410, F180P/P2, RESIN PAD(W/O FIN)
Vitus;Sentier 27 VRW Womens Mountain Bike 2021;1099,99;Mountain;TBC;XS, S, M;Shimano Deore M5100, Shadow plus, long cage, 11 speed;11 Speed;Marzocchi Bomber Z2 27.5”, Rail damper, Float air spring, 34mm stanchions, 140mm travel, , tapered alloy steerer, Boost hub spacing – 110mm x 15mm QR axle;Shimano MT410, F180P/P2, RESIN PAD(W/O FIN)
Vitus;Sentier 29 VR Mountain Bike 2021;1099,99;Mountain;TBC;XL, M, L;Shimano Deore M5100 Shadow Plus, Long Cage, 11 Speed;11 Speed;Marzocchi Bomber Z2 29” Rail Damper, Float Air Spring, 34mm Stanchions, 140mm Travel, Tapered Alloy Steerer, Boost Hub Spacing – 110mm X 15mm Qr Axle;Shimano Mt410 F180p/p2, Resin Pad(W/o Fin)
Vitus;Rapide 29 VR Mountain Bike 2021;1149,99;Mountain;;L, S, XL, M;Shimano Deore M5100 Shadow Plus, Long Cage, 11 Speed;11 Speed;RockShox Reba RL, Solo Air, motion control damper, 32mm stanchions, 100mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm Maxle Stealth axle. RockShox OneLoc Sprint;Shimano Deore MT6100
Cube;Reaction Pro Hardtail Bike 2021;1199;Mountain;13.1kg;"43.5cm (17""), 53cm (21"")";Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Judy Silver TK Air, PopLoc, 100mm travel;Shimano XT BR-M8100 hydraulic disc brakes, 180/160mm rotors
Vitus;Mythique 27 VR Mountain Bike 2021;1249,99;Mountain;------;L, S, M, XL;Shimano Deore M5120 Shadow plus, long cage, 10 speed;10 Speed;X-Fusion RC32 Boost 27.5” RC damper, 32mm stanchions, 130mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm thru axle 46mm offset;Shimano MT401
Vitus;Mythique 27 VRW Womens Mountain Bike 2021;1249,99;Mountain;------;M, L, S;Shimano Deore M5120 Shadow plus, long cage, 10 speed;10 Speed;X-Fusion RC32 Boost 27.5” RC damper, 32mm stanchions, 130mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm thru axle 46mm offset;Shimano MT401
Vitus;Mythique 29 VR Mountain Bike 2021;1249,99;Mountain;------;M, L, S, XL;Shimano Deore M5120 Shadow plus, long cage, 10 speed;10 Speed;X-Fusion RC32 Boost 29” RC damper, 32mm stanchions, 130mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm thru axle 46mm offset;Shimano MT401
Kona;Wo Fat Bike 2021;1299;Mountain;------;L, XL;Shimano Deore 11spd;11 Speed;Kona Wo Fat Disc;Shimano RT30 180mm (Centerlock)
GT;Zaskar LT AL Expert Hardtail Bike 2021;1299,99;Mountain;------;S, XL, L, M;SRAM NX Eagle, 12-Speed;12 Speed;RockShox 35 Gold RL, 130mm, 15x110mm, Tapered Steerer, 51mm OffSet;Shimano MT400 Hydro Disc, 180/180mm RT56 Rotors
Kona;Unit X Hardtail Bike 2021;1399;Mountain;------;XL, S;SRAM SX Eagle;12 Speed;Kona Plus Fork 110mm Spacing;SRAM Centerline 180mm
Vitus;Sentier 27 VRS Mountain Bike 2021;1399,99;Mountain;TBC;M, S, XL, L;------;12 Speed;Fox 34 Float Rhythm Series 27.5” Grip Damper, 34mm Stanchions, 140mm Travel, Tapered Alloy Steerer, Boost Hub Spacing – 110mm X 15mm Qr Axle;------
Vitus;Sentier 29 VRS Mountain Bike 2021;1399,99;Mountain;TBC;L, XL, M;Shimano SLX M7100 12 Speed Shadow Plus, Long Cage, 12 Speed;12 Speed;Fox 34 Float Rhythm Series 29” Grip Damper, 34mm Stanchions, 130mm Travel, Tapered Alloy Steerer, Boost Hub Spacing – 110mm X 15mm Qr Axle;Shimano Mt520 180mm
